"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group1",95321.5982943925
"Cell2","Cell2","Batch1","Group1",66491.1700237683
"Cell3","Cell3","Batch1","Group3",72703.6365275081
"Cell4","Cell4","Batch1","Group6",64562.86500955
"Cell5","Cell5","Batch1","Group5",49060.686986058
"Cell6","Cell6","Batch1","Group5",53130.3399239267
"Cell7","Cell7","Batch1","Group6",61886.063295044
"Cell8","Cell8","Batch1","Group2",33333.0462673151
"Cell9","Cell9","Batch1","Group5",50534.7832141853
"Cell10","Cell10","Batch1","Group6",70243.0677382808
"Cell11","Cell11","Batch1","Group4",56404.7583822509
"Cell12","Cell12","Batch1","Group6",56572.4685578635
"Cell13","Cell13","Batch1","Group1",71246.705704078
"Cell14","Cell14","Batch1","Group3",53697.8876211945
"Cell15","Cell15","Batch1","Group4",67897.9177785283
"Cell16","Cell16","Batch1","Group1",45050.2182846473
"Cell17","Cell17","Batch1","Group1",46840.2180698182
"Cell18","Cell18","Batch1","Group2",42837.9168395292
"Cell19","Cell19","Batch1","Group4",60893.3770436889
"Cell20","Cell20","Batch1","Group5",57456.0086609213
"Cell21","Cell21","Batch1","Group1",79887.4723667487
"Cell22","Cell22","Batch1","Group2",59375.8928871314
"Cell23","Cell23","Batch1","Group1",78491.9142713624
"Cell24","Cell24","Batch1","Group1",88348.5490784486
"Cell25","Cell25","Batch1","Group2",54274.6395344292
"Cell26","Cell26","Batch1","Group5",64711.0862918505
"Cell27","Cell27","Batch1","Group4",50565.3252263545
"Cell28","Cell28","Batch1","Group1",69396.941406706
"Cell29","Cell29","Batch1","Group4",48245.0221583905
"Cell30","Cell30","Batch1","Group1",48761.9329410815
"Cell31","Cell31","Batch1","Group6",63434.2155512155
"Cell32","Cell32","Batch1","Group6",60971.5270100632
"Cell33","Cell33","Batch1","Group4",63103.0659023771
"Cell34","Cell34","Batch1","Group6",60710.1987911997
"Cell35","Cell35","Batch1","Group2",53866.8875111668
"Cell36","Cell36","Batch1","Group6",58335.118527407
"Cell37","Cell37","Batch1","Group2",82787.4491749422
"Cell38","Cell38","Batch1","Group3",59660.2337045811
"Cell39","Cell39","Batch1","Group1",45995.6506636194
"Cell40","Cell40","Batch1","Group5",50568.6939864221
"Cell41","Cell41","Batch1","Group4",48032.6864335115
"Cell42","Cell42","Batch1","Group4",50010.185386691
"Cell43","Cell43","Batch1","Group2",46526.7742426078
"Cell44","Cell44","Batch1","Group1",35412.856795648
"Cell45","Cell45","Batch1","Group4",68446.8732152857
"Cell46","Cell46","Batch1","Group1",68323.4484286009
"Cell47","Cell47","Batch1","Group1",56947.2063319689
"Cell48","Cell48","Batch1","Group5",51804.9268474225
"Cell49","Cell49","Batch1","Group1",50897.2245493431
"Cell50","Cell50","Batch1","Group5",64844.4670692674
"Cell51","Cell51","Batch1","Group4",62649.6087176184
"Cell52","Cell52","Batch1","Group4",65142.2563010997
"Cell53","Cell53","Batch1","Group4",59932.1032977925
"Cell54","Cell54","Batch1","Group6",67764.7063456972
"Cell55","Cell55","Batch1","Group2",65266.0184731206
"Cell56","Cell56","Batch1","Group6",66947.3972299629
"Cell57","Cell57","Batch1","Group6",66117.7324005518
"Cell58","Cell58","Batch1","Group3",83481.2344277214
"Cell59","Cell59","Batch1","Group3",48484.1916076289
"Cell60","Cell60","Batch1","Group5",80956.3125854743
"Cell61","Cell61","Batch1","Group6",56002.8728149807
"Cell62","Cell62","Batch1","Group1",59101.0429966727
"Cell63","Cell63","Batch1","Group6",60852.9944612255
"Cell64","Cell64","Batch1","Group5",54740.3863725721
"Cell65","Cell65","Batch1","Group1",35926.7926662857
"Cell66","Cell66","Batch1","Group3",56241.6853407422
"Cell67","Cell67","Batch1","Group3",60371.7542942324
"Cell68","Cell68","Batch1","Group6",42296.2787238262
"Cell69","Cell69","Batch1","Group6",66835.3848058995
"Cell70","Cell70","Batch1","Group3",53132.5631612167
"Cell71","Cell71","Batch1","Group2",79981.3179858033
"Cell72","Cell72","Batch1","Group2",63131.4047522671
"Cell73","Cell73","Batch1","Group3",51135.9697948716
"Cell74","Cell74","Batch1","Group4",61916.7762730345
"Cell75","Cell75","Batch1","Group3",63039.4891957888
"Cell76","Cell76","Batch1","Group6",71855.2870599845
"Cell77","Cell77","Batch1","Group2",58024.784863798
"Cell78","Cell78","Batch1","Group4",39867.823872465
"Cell79","Cell79","Batch1","Group5",46169.1375470651
"Cell80","Cell80","Batch1","Group2",50440.5083336199
"Cell81","Cell81","Batch1","Group5",65202.4979245593
"Cell82","Cell82","Batch1","Group2",56558.611288769
"Cell83","Cell83","Batch1","Group4",52951.2147174574
"Cell84","Cell84","Batch1","Group5",50565.3497710575
"Cell85","Cell85","Batch1","Group6",61743.1916322444
"Cell86","Cell86","Batch1","Group5",50499.2389495707
"Cell87","Cell87","Batch1","Group3",55293.7845132486
"Cell88","Cell88","Batch1","Group2",49612.8203813186
"Cell89","Cell89","Batch1","Group2",45358.3359224698
"Cell90","Cell90","Batch1","Group3",72477.8964475315
"Cell91","Cell91","Batch1","Group6",46004.7948539061
"Cell92","Cell92","Batch1","Group2",60755.0708943954
"Cell93","Cell93","Batch1","Group3",53442.5663613511
"Cell94","Cell94","Batch1","Group1",48451.0779723752
"Cell95","Cell95","Batch1","Group1",63061.3100588978
"Cell96","Cell96","Batch1","Group6",64513.3140526884
"Cell97","Cell97","Batch1","Group3",77105.7668566083
"Cell98","Cell98","Batch1","Group5",63898.1059584598
"Cell99","Cell99","Batch1","Group6",58238.7684250074
"Cell100","Cell100","Batch1","Group5",100759.702656612
"Cell101","Cell101","Batch1","Group5",52572.2195779582
"Cell102","Cell102","Batch1","Group3",48989.6021883488
"Cell103","Cell103","Batch1","Group3",53797.2278260312
"Cell104","Cell104","Batch1","Group4",58566.4383237352
