	T1	T2	MZ	FO1	FO2	FO	T1log	T2log	FO1log	FO2log	FOlog	MZlog	fold
Wfdc17	1	1.94798	1	23.6364	11.7873	17.71185	1	1.559726737	4.622719552	3.676639771	4.225880297	1	13.45892076
Hist1h4d	1.74865	4.65749	2.36812	45.6688	11.2435	28.45615	1.458723213	2.500162129	5.544386466	3.613944129	4.880496973	1.75194354	9.729418777
Fam101b	1	5.31391	1	23.5083	18.3838	20.94605	1	2.658533696	4.615198511	4.276779519	4.455889392	1	8.591594646
Fxyd5	2.43525	11.3149	9.7418	83.0924	51.3049	67.19865	1.780415095	3.622333008	6.393903515	5.708874201	6.091671276	3.42516386	8.581490681
Fcgrt	2.45686	15.3904	1.31053	56.9276	34.9602	45.9439	1.789462177	4.034779158	5.856178989	5.16832914	5.552865798	1.208223822	7.194551146
Hist1h3a	1.5192	3.17837	1	21.9533	4.76156	13.35743	1.332965663	2.062940251	4.52062968	2.526459489	3.843725623	1	7.033224691
"Hist1h4m,Hist1h4n"	2.4816	1.79304	1	16.8824	6.04645	11.464425	1.799750462	1.481836235	4.160468469	2.816896611	3.639744426	1	6.520497133
Itgb7	18.2603	55.3809	7.6434	198.618	151.332	174.975	4.26755827	5.817134603	7.641098007	7.251075227	7.459226676	3.111598928	6.457865328
Irgc1	1.20337	3.18066	1.81447	17.794	8.40529	13.099645	1.139711779	2.063730718	4.232200249	3.233472428	3.817586934	1.49286327	6.340071792
Pglyrp1	3.89813	29.8378	8.98367	109.937	66.9873	88.46215	2.292231065	4.94662794	6.793596807	6.087193372	6.483205525	3.319570248	6.212287802
Smagp	2.49773	6.30067	6.34034	38.3682	22.5891	30.47865	1.806418928	2.86802887	5.298958846	4.560048471	4.976301765	2.875846889	6.039865273
Hist1h4c	5.97265	8.66417	1.28718	54.6624	8.53016	31.59628	2.801707066	3.272645833	5.79863121	3.252500435	5.026635423	1.19356991	5.952577242
Fam212a	1.88285	3.92603	2.186	17.8313	13.5079	15.6696	1.527495773	2.300425414	4.235060693	3.858766801	4.059147581	1.671746267	5.879863112
Fcer2a	18.5083	319.926	6.56398	777.72	556.803	667.2615	4.286016158	8.326096865	9.60496087	9.123611883	9.38426895	2.919145549	5.80230284
Hist1h4b	2.63605	2.47042	1	18.6135	4.87	11.74175	1.862372038	1.795110272	4.2937751	2.553360503	3.671491531	1	5.768512741
Stat4	1.19593	4.92223	6.02762	25.4215	19.9442	22.68285	1.134832066	2.566140521	4.723640468	4.388478874	4.565770801	2.813036184	5.602649645
Lfng	4.07366	14.1871	7.62311	49.1634	44.832	46.9977	2.343026844	3.924774506	5.64856323	5.518283338	5.58489337	3.108208284	5.447141405
Gimap4	10.5066	73.6798	76.9667	312.959	271.816	292.3875	3.5243897	6.222646159	8.294432359	8.091784447	8.196663595	6.284786168	5.443038328
Sfn	13.9937	33.073	6.49432	120.103	66.6649	93.38395	3.906284536	5.090557072	6.920090794	6.08033575	6.560469645	2.905797581	5.230517455
Apoe	31.8629	75.7668	62.15	389.596	193.037	291.3165	5.038387892	6.262410606	8.609533365	7.600187969	8.191387455	5.980710829	5.147550031
Mapk11	10.3236	29.9324	2.95188	81.5666	64.1978	72.8822	3.501260788	4.951046869	6.367486393	6.026751379	6.207154921	1.98253914	5.060340845
Rhox8	3.65691	9.65014	1	20.4383	27.7206	24.07945	2.219373001	3.41280049	4.422118603	4.844013984	4.648433805	1	5.049143604
Slc2a6	1	4.85682	1.01629	13.6891	9.0596	11.37435	1	2.550117556	3.8766741	3.330501035	3.62928084	1.011703154	4.964717573
Bmyc	6.40159	36.6952	20.9494	140.196	69.2982	104.7471	2.887835222	5.236308921	7.141555408	6.135415844	6.724474289	4.456109598	4.906479214
Gm11346	3.29655	5.78299	1	17.402	14.2726	15.8373	2.103178684	2.761921366	4.201790667	3.932873782	4.073588904	1	4.713697252
Agpat2	4.15876	8.17181	3.0575	28.1017	18.6786	23.39015	2.36702433	3.197206469	4.863031527	4.298555681	4.608226726	2.020591095	4.56005529
Rabac1	57.1835	128.203	61.2362	480.915	260.278	370.5965	5.862538179	7.013495759	8.912634897	8.029441842	8.537593103	5.95968207	4.508058261
Rapgef4	1	11.2349	4.67543	26.4718	23.5514	25.0116	1	3.612930405	4.779879536	4.617733389	4.701083239	2.504729703	4.437216778
Hist2h2ac	5.29329	6.203	1	31.5521	4.97456	18.26333	2.653814425	2.848597904	5.024678712	2.578832469	4.267785214	1	4.38450052
Gpr183	3.67909	11.5472	16.8275	56.8927	35.0935	45.9931	2.226227978	3.649293547	5.855309537	5.173667144	5.554377036	4.156032499	4.304617332
Rpph1	47.7628	43.9763	5.74316	253.982	25.5217	139.75185	5.607709064	5.491093077	7.994251596	4.729101348	7.137010075	2.75342483	4.300839455
Tmem238	1.23356	4.56144	1.68433	13.0113	8.38007	10.695685	1.15934501	2.475458482	3.808518913	3.229598689	3.547904456	1.424562041	4.290097509
S100a6	1.34972	5.00355	1.15595	7.64072	13.7109	10.67581	1.232488851	2.585815843	3.111151532	3.878813607	3.545450734	1.10832372	4.265080794
Hist1h4n	2.89221	3.85588	1	19.3259	2.29711	10.811505	1.960589551	2.27973277	4.345247329	1.72120202	3.562120897	1	4.186130388
Hist1h2ai	2.75419	3.62008	1	15.3371	4.85302	10.09506	1.908501667	2.207917833	4.030080008	2.549181208	3.471845564	1	4.106871595
Neurl3	25.5286	46.5602	18.6634	129.673	118.474	124.0735	4.729476637	5.571682877	7.029817268	6.900552882	6.96663234	4.297440895	4.101503875
B4galnt1	41.6994	173.977	87.851	512.539	304.557	408.548	5.416143893	7.451021488	9.004330034	8.255297722	8.677888739	6.473316108	4.038001182
Fkbp11	3.22813	4.82254	1	14.0771	10.2847	12.1809	2.080019735	2.541648646	3.914287055	3.49629616	3.720376977	1	4.037568489
Ptms	2.39282	9.80168	6.80151	30.9827	19.7956	25.38915	1.762484892	3.433183809	4.999219832	4.378206405	4.721872977	2.963753388	4.009655185
H2-Ab1	874.747	2800.1	1124.36	8136	4642.04	6389.02	9.774370331	11.45177777	12.99028128	12.18085399	12.64160473	10.13617087	3.993797309
Gimap3	21.8359	109.162	41.6673	223.183	226.289	224.736	4.513231745	6.783482847	7.808533071	7.828384054	7.818492705	5.415058914	3.904712704
Gna15	2.3251	4.18194	1.71407	11.3936	9.36239	10.377995	1.733397729	2.373492311	3.631523406	3.373284882	3.508174447	1.440457931	3.787078022
Rrad	4.42112	6.89146	4.01974	21.4716	15.9008	18.6862	2.438590942	2.980292238	4.490030944	4.079019633	4.299112752	2.327612641	3.656237282
H2-Eb1	396.587	1465.87	813.59	3915.89	2584.15	3250.02	8.635126775	10.5185253	11.9354929	11.33603228	11.66667672	9.669930294	3.643456187
Pxdc1	33.8836	66.3215	19.3949	172.631	117.027	144.829	5.124477029	6.072995417	7.439880739	6.88297312	7.188133837	4.350136528	3.632834448
H2-Aa	893.242	3016.98	1629.06	7816.82	5202.61	6509.715	9.804521497	11.55936753	12.93255065	12.34529712	12.66860027	10.67070935	3.52557335
Cltb	1.40829	4.11979	3.1317	11.2972	8.87579	10.086495	1.268009128	2.356084636	3.620257955	3.303896159	3.470731424	2.046735505	3.494255628
Xkrx	2.61692	10.5312	7.90583	31.8893	17.0608	24.47505	1.854761688	3.52747075	5.039546398	4.174789893	4.671013073	3.154750073	3.487476222
Vkorc1	4.34523	10.9482	8.23584	32.0697	22.3283	27.199	2.418252027	3.578721387	5.047438053	4.544009273	4.817572097	3.20724318	3.467893394
Cisd3	22.2077	32.7071	4.65481	80.6495	56.5433	68.5964	4.536531646	5.074980605	6.351372146	5.846576054	6.120940777	2.499478551	3.454600425
Rara	6.87053	23.3088	7.05019	53.4782	31.5461	42.51215	2.97646079	4.603406772	5.767607131	5.02441277	5.443346399	3.009022834	3.42568075
H2-Eb2	4.13471	26.706	31.5801	74.7155	67.8098	71.26265	2.360282798	4.792126534	6.242516765	6.104542145	6.175178257	5.025919127	3.424946745
Gsn	13.1773	22.2759	22.6771	76.5446	55.2845	65.91455	3.825510899	4.540765048	6.276954414	5.814665773	6.064248042	4.565420484	3.401731111
Kctd14	5.30937	9.06561	1	20.8759	13.508	17.19195	2.657495957	3.331362701	4.451270467	3.858776745	4.185228289	1	3.354531193
H2-Oa	95.8066	293.884	130.295	717.781	435.659	576.72	6.597033505	8.204003736	9.489408463	8.770363266	9.17422663	7.036668166	3.32732291
Rps15a-ps6	19.3472	40.9105	25.9296	91.6802	98.06	94.8701	4.346758372	5.389239828	6.534189252	6.630230716	6.583009032	4.751120896	3.302230143
Macrod1	2.79607	5.95317	1.88531	15.3026	7.97226	11.63743	1.924506596	2.797670863	4.027030164	3.165471428	3.659631196	1.528726332	3.28291183
Prr7	4.77647	8.50518	1.85809	22.394	10.6923	16.54315	2.530188131	3.248713948	4.548066655	3.547486846	4.132835912	1.515051347	3.278091301
Gadd45g	20.5353	42.3616	1	74.3899	64.7467	69.5683	4.428631516	5.438346087	6.236299353	6.038846578	6.140948351	1	3.266275829
Scimp	10.0531	11.974	1	33.6374	16.1701	24.90375	3.466379146	3.697551439	5.114258735	4.101826537	4.695089062	1	3.244492359
Tuba1a	31.3472	53.1222	15.5651	123.276	92.8093	108.04265	5.015568932	5.758148579	6.957403902	6.55165905	6.768748718	4.050075008	3.240161644
Gimap7	9.17389	37.0256	19.0809	71.6358	68.9477	70.29175	3.346799496	5.248899107	6.182608879	6.128204715	6.15566323	4.327752025	3.230300095
Tnfaip8l2	26.1638	49.4352	17.7259	118.254	81.8179	100.03595	4.76361341	5.656359073	6.897893847	6.371870716	6.658724905	4.226963154	3.215731814
Lmo2	51.6096	117.111	29.4934	222.45	194.569	208.5095	5.717254176	6.883999523	7.803808235	7.611533894	7.710871853	4.930425114	3.155824008
