	T1	T2	FO1	FO2	FO	MZ	T1log	T2log	FO1log	FO2log	FOlog	MZlog	fold
I830077J02Rik	1	1.05064	1	2.72597	1.862985	64.7863	1	1.036074242	1	1.897616058	1.517520112	6.039715269	44.86112097
AW011738	1	1	1	1.82017	1.410085	30.0409	1	1	1	1.495782131	1.269084029	4.956098483	24.92932822
Rap1gap	1	1	1	1.31978	1.15989	25.7263	1	1	1	1.213987992	1.11095784	4.740188219	23.8218613
Ccbp2/Ackr2	1	2.10815	1	3.94452	2.47226	43.8628	1	1.63605613	1	2.305830475	1.79587498	5.48744776	21.78795356
Myof	3.8455	2.55327	1	2.40366	1.70183	52.3016	2.276645543	1.829147318	1	1.76708693	1.433936903	5.736106935	21.34229982
Tsga13	1	1	1	1.04841	1.024205	20.9042	1	1	1	1.034504507	1.017355405	4.453135619	20.65423216
Asb2	1.38418	1	1	2.8191	1.90955	29.8359	1.25349316	1	1	1.933232696	1.540796039	4.946539049	19.2387898
Tlr3	1	1	1	1	1	18.9353	1	1	1	1	1	4.317253411	18.9353
Tbc1d9	1	1	1	1.18846	1.09423	17.7468	1	1	1	1.129916015	1.066419896	4.22857245	16.94828171
Zc3h12c	1	1	1	1	1	16.9318	1	1	1	1	1	4.164448409	16.9318
Cxcr7/Ackr3	1.63117	3.57493	1	1.26417	1.132085	30.2459	1.395704464	2.193749669	1	1.178982284	1.092264955	4.965594991	16.19534501
S1pr3	6.69439	4.30529	1	3.77766	2.38883	63.8462	2.943806956	2.407431615	1	2.256304189	1.760787266	6.01895013	16.18680969
Pla2g7	1	1	1	1.25149	1.125745	17.0582	1	1	1	1.17088007	1.087968545	4.17458219	16.04914983
Nebl	1	1	1	1	1	15.8882	1	1	1	1	1	4.077943664	15.8882
Ptpn14	1	1.0273	1	1.96967	1.484835	19.1814	1	1.019559595	1	1.570302623	1.313150056	4.334954354	15.35442478
Ffar2	1	1	1.02309	3.48113	2.25211	24.6376	1	1	1.016560502	2.16386258	1.701376056	4.680189309	15.15176301
Gm6377	2.34931	2.23983	1.98334	4.00698	2.99516	35.9061	1.743863913	1.695918114	1.576928406	2.323940693	1.998253282	5.205787386	13.57577797
Cdh17	1.01148	2.26407	1.26423	4.07329	2.66876	29.2234	1.008257393	1.706671997	1.179020514	2.34292163	1.875292531	4.917594061	13.57165331
Serpine2	1	1	1	1	1	13.0098	1	1	1	1	1	3.808364455	13.0098
Lilrb4	1	1	1	1.16172	1.08086	13.3942	1	1	1	1.112179668	1.057179904	3.847415704	12.87371568
Cd300lf	1	1	1.46927	3.05614	2.262705	21	1	1	1.304084595	2.020107449	1.706068551	4.459431619	12.87275436
Tspan15	1	1	1	1	1	12.461	1	1	1	1	1	3.750713685	12.461
Xist	14.6312	8.94617	8.81075	5.18674	6.998745	116.189	3.966356633	3.31414109	3.29436343	2.629179405	2.999773659	6.872693347	12.36880191
Fcrl5	1.82055	11.7539	5.42469	14.1741	9.799395	94.5596	1.495976512	3.672866569	2.683626844	3.923539045	3.432878587	6.57832891	11.40191311
Cd9	5.90711	11.2995	3.90678	13.0865	8.49664	94.9653	2.7880822	3.620527763	2.294776588	3.816241292	3.247417165	6.584440932	11.10708836
Cr2	9.51679	45.104	46.1652	92.6754	69.4203	509.816	3.394622518	5.52682002	5.55965088	6.549598328	6.137919468	8.996659904	10.54093533
Mpeg1	6.24779	8.16702	1.44564	7.4069	4.42627	59.332	2.857541155	3.196452821	1.290212054	3.071573912	2.439960835	5.914851503	10.20004427
Il9r	1	7.9735	13.2507	22.8132	18.03195	111.099	1	3.1656708	3.832960882	4.573689597	4.250351482	6.808629598	9.867265872
Adrbk2	1	1	1	2.0849	1.54245	12.4177	1	1	1	1.625223724	1.346219402	3.746065488	9.768294362
Sema7a	5.39158	11.4798	4.57957	10.4895	7.534535	71.7842	2.67617261	3.641522909	2.480153942	3.522244111	3.093312551	6.185553399	8.989754371
Mfhas1	6.23227	5.12103	3.35244	4.76596	4.0592	42.9475	2.854448538	2.613774439	2.12182441	2.527560829	2.338909273	5.457709193	8.822547595
Wdfy2	3.31883	2.31221	1	4.55756	2.77878	23.9324	2.11064053	1.727794145	1	2.474451619	1.917920528	4.639949859	8.555994494
Lnpep	8.2422	3.05887	1.75449	5.13214	3.443315	37.6859	3.20823631	2.021078133	1.461785225	2.616390635	2.151636422	5.273735932	8.288216762
Rgs10	4.05304	7.08385	1.70724	9.10426	5.40575	44.3846	2.3371516	3.015042552	1.43682279	3.336891763	2.679367495	5.504130937	8.088903104
Cacna1e	6.59132	1.98408	1	1.92636	1.46318	22.9625	2.924350767	1.577286213	1	1.54910726	1.300522058	4.582706527	7.985734357
Inpp4a	1.76454	2.03657	1.53703	2.2698	1.903415	14.8284	1.467039446	1.602442627	1.343140579	1.709202395	1.537750799	3.984443524	7.796275996
Pde8a	1	1.41448	1.01764	2.77074	1.89419	11.5375	1	1.271712513	1.012668783	1.914847677	1.533159636	3.648177796	7.440116333
Rhbdf1	1	1	6.55283	5.91476	6.233795	25.8644	1	1	2.917017315	2.789679179	2.854752714	4.747623712	7.150990593
Gm4759	3.56093	1.43343	1	3.33351	2.166755	16.5805	2.189328028	1.282991275	1	2.115536034	1.663005256	4.135904197	7.110090514
Naip5	1.69237	1.46473	1.30201	2.39541	1.84871	12.0865	1.428876687	1.301429615	1.202894101	1.763585792	1.510308762	3.710007393	7.053156166
Plxnd1	10.2721	12.3927	1	4.05587	2.527935	48.6094	3.494684411	3.743374936	1	2.337959368	1.81882398	5.632541604	7.0141739
Sirpa	1.26735	2.03418	1.30044	3.16267	2.231555	12.6192	1.18100711	1.601306675	1.201909829	2.057509192	1.692228546	3.767570056	6.500855159
Kcna3	2.52522	1.57901	1	4.10498	2.55249	14.8607	1.817713295	1.366817367	1	2.351905309	1.828830588	3.98738454	6.454712185
Crebl2	5.09894	6.07243	4.99859	9.11252	7.055555	40.0073	2.608558523	2.822205992	2.584623428	3.338070651	3.009983989	5.357808852	6.329648041
Cd1d2	2.94567	2.79802	1.22257	2.52516	1.873865	13.9227	1.9802703	1.925247503	1.152228858	1.81768874	1.522992293	3.899436684	5.867488742
Cd36	14.7805	18.3217	3.09197	16.0827	9.587335	76.4946	3.980071012	4.272150129	2.032795568	4.094464113	3.404267581	6.276023879	5.85303596
Cd1d1	30.3961	33.3695	17.7724	27.1578	22.4651	157.08	4.972513455	5.103056959	4.230541201	4.815462714	4.552444704	7.304511042	5.780536138
Dusp16	3.25492	3.9282	3.92244	4.86814	4.39529	23.051	2.089132007	2.301060806	2.299373621	2.552903291	2.431700508	4.588024975	5.772238116
Cyp39a1	4.35227	3.51479	2.43107	4.01965	3.22536	20.0969	2.420150896	2.174658884	1.77865856	2.327586774	2.079074264	4.398959118	5.614529627
Gbp7	3.22221	2.83595	1.65813	3.23665	2.44739	15.3262	2.077998336	1.939583916	1.410411664	2.082923949	1.785504519	4.029117131	5.597109087
Cbl	7.65814	2.90921	1	5.4843	3.24215	22.9515	3.114057129	1.966877087	1	2.69695084	2.084795635	4.582044105	5.383995097
Tmem245	2.55141	1.97075	1.07712	3.28696	2.18204	11.7153	1.828391925	1.570827202	1.054584566	2.099954956	1.669951971	3.668493596	5.27345649
Lipc	2.9751	3.27157	1	1.02615	1.013075	10.6928	1.990991154	2.094766425	1	1.018740984	1.009400923	3.547548539	5.170087105
Zbed6	6.54319	1.28663	1	3.44715	2.223575	15.841	2.915174765	1.193222942	1	2.152881067	1.68866155	4.073905901	5.161208344
"H2-Q6,H2-Q8"	32.4671	20.2195	12.237	1	6.6185	80.3366	5.064671639	4.407318757	3.726504285	1	2.929506975	6.34583278	4.874527483
Ceacam2	1.95325	2.72933	2.80501	2.089	2.447005	11.6481	1.562303489	1.898916464	1.927900245	1.627139871	1.785343391	3.660848774	4.865239088
Fam49a	2.69048	2.4388	3.47547	5.38774	4.431605	16.7002	1.883808472	1.781905211	2.162039198	2.675305592	2.441378567	4.145693757	4.774046649
Pdia4	54.0681	103.353	57.4802	103.068	80.2741	374.552	5.783144927	6.705328266	5.86987634	6.70138271	6.34472377	8.552868871	4.711800793
Mcoln3	2.7654	4.97925	1.61025	2.56339	2.08682	13.9481	1.912803131	2.579964533	1.384187989	1.83325039	1.626121358	3.901890215	4.681242024
