"ENSEMBL","SYMBOL"
"ENSMUSG00000021598","Med10"
"ENSMUSG00000030890","Ilk"
"ENSMUSG00000032103","Pus3"
"ENSMUSG00000014771","Pdcd2"
"ENSMUSG00000085241","Snhg3"
"ENSMUSG00000022416","Cacna1i"
"ENSMUSG00000000120","Ngfr"
"ENSMUSG00000058546","Rpl23a"
"ENSMUSG00000069792","Wfdc17"
"ENSMUSG00000054263","Lifr"
"ENSMUSG00000069833","Ahnak"
"ENSMUSG00000045672","Col27a1"
"ENSMUSG00000024742","Fen1"
"ENSMUSG00000030157","Clec2d"
"ENSMUSG00000056145","AI504432"
"ENSMUSG00000021313","Ryr2"
"ENSMUSG00000021250","Fos"
"ENSMUSG00000048047","Zbtb33"
"ENSMUSG00000086429","Gt(ROSA)26Sor"
"ENSMUSG00000032012","Nectin1"
"ENSMUSG00000091971","Hspa1a"
"ENSMUSG00000015599","Ttbk1"
"ENSMUSG00000025938","Slco5a1"
"ENSMUSG00000041773","Enc1"
"ENSMUSG00000005125","Ndrg1"
"ENSMUSG00000022636","Alcam"
"ENSMUSG00000041453","Rpl21"
"ENSMUSG00000017400","Stac2"
"ENSMUSG00000038437","Mllt6"
"ENSMUSG00000070880","Gad1"
"ENSMUSG00000031530","Dusp4"
"ENSMUSG00000023968","Crip3"
"ENSMUSG00000027523","Gnas"
"ENSMUSG00000020018","Snrpf"
"ENSMUSG00000057789","Bak1"
"ENSMUSG00000051335","Gfod1"
"ENSMUSG00000030653","Pde2a"
"ENSMUSG00000059005","Hnrnpa3"
"ENSMUSG00000071659","Hnrnpul2"
"ENSMUSG00000045231","BC106179"
"ENSMUSG00000070420","Zscan25"
"ENSMUSG00000027435","Cd93"
"ENSMUSG00000040857","Erf"
"ENSMUSG00000056952","Tatdn2"
"ENSMUSG00000065037","Rn7sk"
"ENSMUSG00000051727","Kctd14"
"ENSMUSG00000090877","Hspa1b"
"ENSMUSG00000026728","Vim"
"ENSMUSG00000078185","Chml"
"ENSMUSG00000042903","Foxo4"
"ENSMUSG00000027349","Fam98b"
"ENSMUSG00000055435","Maf"
"ENSMUSG00000024063","Lbh"
"ENSMUSG00000026482","Rgl1"
"ENSMUSG00000020680","Taf15"
"ENSMUSG00000026576","Atp1b1"
"ENSMUSG00000038738","Shank1"
"ENSMUSG00000018547","Pip4k2b"
"ENSMUSG00000020990","Cdkl1"
"ENSMUSG00000006638","Abhd1"
"ENSMUSG00000068566","Myadm"
"ENSMUSG00000047675","Rps8"
"ENSMUSG00000047675","Gm15501"
"ENSMUSG00000003518","Dusp3"
"ENSMUSG00000027978","Prss12"
"ENSMUSG00000034993","Vat1"
"ENSMUSG00000032360","Hcrtr2"
"ENSMUSG00000047749","Zc3hav1l"
"ENSMUSG00000045005","Fzd5"
"ENSMUSG00000041248","Kcnj1"
"ENSMUSG00000053617","Sh3pxd2a"
"ENSMUSG00000035621","Midn"
"ENSMUSG00000032249","Anp32a"
"ENSMUSG00000020821","Kif1c"
"ENSMUSG00000032643","Fhl3"
"ENSMUSG00000039678","Tbc1d13"
"ENSMUSG00000042351","Grap2"
"ENSMUSG00000031732","Phlpp2"
"ENSMUSG00000040339","Fam102b"
"ENSMUSG00000039253","Fn3krp"
"ENSMUSG00000038593","Tctn1"
"ENSMUSG00000003360","Ddx23"
"ENSMUSG00000002274","Metrn"
"ENSMUSG00000045382","Cxcr4"
"ENSMUSG00000014778","Fhod1"
"ENSMUSG00000023994","Nfya"
"ENSMUSG00000044617","Zbtb39"
"ENSMUSG00000040189","Ccdc114"
"ENSMUSG00000045322","Tlr9"
"ENSMUSG00000026500","Cox20"
"ENSMUSG00000086784","Isoc2a"
"ENSMUSG00000074796","Slc4a11"
"ENSMUSG00000064356","ATP8"
"ENSMUSG00000025433","Crisp3"
"ENSMUSG00000054702","Ap1s3"
"ENSMUSG00000100658","F730311O21Rik"
"ENSMUSG00000040365","Trim41"
"ENSMUSG00000051457","Spn"
"ENSMUSG00000025912","Mybl1"
"ENSMUSG00000034616","Ssh3"
"ENSMUSG00000075700","Selenot"
"ENSMUSG00000056602","Fry"
"ENSMUSG00000025650","Col7a1"
"ENSMUSG00000033826","Dnah8"
"ENSMUSG00000013846","St3gal1"
"ENSMUSG00000003031","Cdkn1b"
"ENSMUSG00000024737","Slc15a3"
"ENSMUSG00000042524","Sun2"
"ENSMUSG00000035929","H2-Q4"
"ENSMUSG00000057706","Mex3b"
"ENSMUSG00000032097","Ddx6"
"ENSMUSG00000024112","Cacna1h"
"ENSMUSG00000052310","Slc39a1"
"ENSMUSG00000043467","Zbtb37"
"ENSMUSG00000000532","Acvr1b"
"ENSMUSG00000041247","Lamp3"
"ENSMUSG00000026176","Ctdsp1"
"ENSMUSG00000097534","Gm16675"
"ENSMUSG00000068284","Usf3"
"ENSMUSG00000024462","Gabbr1"
"ENSMUSG00000002250","Ppard"
"ENSMUSG00000002250","1810013A23Rik"
"ENSMUSG00000024014","Pim1"
"ENSMUSG00000056851","Pcbp2"
"ENSMUSG00000052056","Zfp217"
"ENSMUSG00000014498","Ankrd52"
"ENSMUSG00000060657","Marf1"
"ENSMUSG00000074277","Phldb3"
"ENSMUSG00000062647","Rpl7a"
"ENSMUSG00000041852","Tcf20"
"ENSMUSG00000049823","Zbtb12"
"ENSMUSG00000031391","L1cam"
"ENSMUSG00000031309","Rps6ka3"
"ENSMUSG00000055065","Ddx17"
"ENSMUSG00000019699","Akt3"
"ENSMUSG00000035299","Mid1"
"ENSMUSG00000019970","Sgk1"
"ENSMUSG00000048379","Socs4"
"ENSMUSG00000008683","Rps15a"
"ENSMUSG00000034612","Chst11"
"ENSMUSG00000040093","Bmf"
"ENSMUSG00000032741","Tpcn1"
"ENSMUSG00000061607","Mdc1"
"ENSMUSG00000092837","Rpph1"
"ENSMUSG00000024759","Atl3"
"ENSMUSG00000026473","Glul"
"ENSMUSG00000030410","Dmwd"
"ENSMUSG00000024769","Cdc42bpg"
"ENSMUSG00000029311","Hsd17b11"
"ENSMUSG00000022610","Mapk12"
"ENSMUSG00000027562","Car2"
"ENSMUSG00000092274","Neat1"
"ENSMUSG00000030604","Zfp626"
"ENSMUSG00000048756","Foxo3"
"ENSMUSG00000055675","Kbtbd11"
"ENSMUSG00000037111","Setd7"
"ENSMUSG00000043279","Trim56"
"ENSMUSG00000035539","Ccdc180"
"ENSMUSG00000041530","Ago1"
"ENSMUSG00000016756","Cmah"
"ENSMUSG00000041642","Kif21b"
"ENSMUSG00000020846","Rflnb"
"ENSMUSG00000062157","Ifnlr1"
"ENSMUSG00000035270","Impg2"
"ENSMUSG00000030400","Ercc2"
"ENSMUSG00000024066","Xdh"
"ENSMUSG00000037946","Fgd3"
"ENSMUSG00000090210","Itga10"
"ENSMUSG00000043311","D17H6S53E"
"ENSMUSG00000020592","Sdc1"
"ENSMUSG00000031907","Zfp90"
"ENSMUSG00000073016","Uprt"
"ENSMUSG00000025422","Agap2"
"ENSMUSG00000020594","Pum2"
"ENSMUSG00000024887","Asah2"
"ENSMUSG00000074862","BC025920"
"ENSMUSG00000036057","Ptpn23"
"ENSMUSG00000098488","Pla2g4b"
"ENSMUSG00000001025","S100a6"
"ENSMUSG00000090330","9130221H12Rik"
"ENSMUSG00000028468","Rgp1"
"ENSMUSG00000053604","Rpia"
"ENSMUSG00000063663","Brwd3"
"ENSMUSG00000049323","Smcr8"
"ENSMUSG00000020601","Trib2"
"ENSMUSG00000020483","Dynll2"
"ENSMUSG00000063286","Gm8995"
"ENSMUSG00000048878","Hexim1"
"ENSMUSG00000013973","Dedd"
"ENSMUSG00000071711","Mpst"
"ENSMUSG00000024019","Cmtr1"
"ENSMUSG00000044068","Zrsr1"
"ENSMUSG00000069895","Atxn1l"
"ENSMUSG00000005540","Fcer2a"
"ENSMUSG00000069769","Msi2"
"ENSMUSG00000025352","Gdf11"
