"","geneNames"
"1","AL627309.1"
"2","AL627309.3"
"3","AL627309.4"
"4","AL669831.2"
"5","AL669831.5"
"6","FAM87B"
"7","LINC00115"
"8","FAM41C"
"9","AL645608.7"
"10","AL645608.3"
"11","SAMD11"
"12","NOC2L"
"13","KLHL17"
"14","PLEKHN1"
"15","PERM1"
"16","AL645608.8"
"17","HES4"
"18","ISG15"
"19","AL645608.2"
"20","AGRN"
"21","C1orf159"
"22","LINC01342"
"23","AL390719.2"
"24","TTLL10-AS1"
"25","TTLL10"
"26","TNFRSF18"
"27","TNFRSF4"
"28","SDF4"
"29","B3GALT6"
"30","C1QTNF12"
"31","AL162741.1"
"32","UBE2J2"
"33","LINC01786"
"34","SCNN1D"
"35","ACAP3"
"36","PUSL1"
"37","INTS11"
"38","CPTP"
"39","TAS1R3"
"40","DVL1"
"41","MXRA8"
"42","AURKAIP1"
"43","CCNL2"
"44","MRPL20"
"45","AL391244.3"
"46","ANKRD65"
"47","VWA1"
"48","ATAD3C"
"49","ATAD3B"
"50","ATAD3A"
"51","TMEM240"
"52","SSU72"
"53","AL645728.1"
"54","FNDC10"
"55","AL691432.2"
"56","MIB2"
"57","MMP23B"
"58","CDK11B"
"59","FO704657.1"
"60","SLC35E2B"
"61","CDK11A"
"62","SLC35E2A"
"63","NADK"
"64","GNB1"
"65","AL109917.1"
"66","CALML6"
"67","TMEM52"
"68","CFAP74"
"69","GABRD"
"70","PRKCZ"
"71","AL590822.2"
"72","PRKCZ-AS1"
"73","FAAP20"
"74","AL590822.1"
"75","SKI"
"76","MORN1"
"77","RER1"
"78","PEX10"
"79","PLCH2"
"80","AL139246.1"
"81","PANK4"
"82","AL139246.5"
"83","TNFRSF14-AS1"
"84","TNFRSF14"
"85","AL139246.3"
"86","FAM213B"
"87","MMEL1"
"88","AL831784.1"
"89","TTC34"
"90","LINC00982"
"91","PRDM16"
"92","ARHGEF16"
"93","MEGF6"
"94","AL513320.1"
"95","TPRG1L"
"96","WRAP73"
"97","TP73"
"98","AL136528.1"
"99","CCDC27"
"100","SMIM1"
"101","LRRC47"
"102","AL365330.1"
"103","CEP104"
"104","DFFB"
"105","C1orf174"
"106","LINC01134"
"107","AL805961.2"
"108","AJAP1"
"109","AL365255.1"
"110","NPHP4"
"111","KCNAB2"
"112","CHD5"
"113","RPL22"
"114","AL031847.1"
"115","RNF207"
"116","ICMT"
"117","LINC00337"
"118","GPR153"
"119","ACOT7"
"120","AL031848.2"
"121","HES2"
"122","ESPN"
"123","TNFRSF25"
"124","PLEKHG5"
"125","NOL9"
"126","TAS1R1"
"127","ZBTB48"
"128","KLHL21"
"129","PHF13"
"130","THAP3"
"131","DNAJC11"
"132","LINC01672"
"133","AL591163.1"
"134","CAMTA1-DT"
"135","CAMTA1"
"136","AL359881.3"
"137","AL359881.2"
"138","VAMP3"
"139","PER3"
"140","Z98884.1"
"141","UTS2"
"142","TNFRSF9"
"143","PARK7"
"144","AL034417.4"
"145","AL034417.3"
"146","ERRFI1"
"147","AL034417.2"
"148","SLC45A1"
"149","RERE"
"150","AL096855.1"
"151","AL357552.2"
"152","ENO1"
"153","ENO1-AS1"
"154","CA6"
"155","SLC2A7"
"156","SLC2A5"
"157","GPR157"
"158","MIR34AHG"
"159","LINC01759"
"160","H6PD"
"161","SPSB1"
"162","AL928921.2"
"163","SLC25A33"
"164","TMEM201"
"165","PIK3CD"
"166","PIK3CD-AS1"
"167","PIK3CD-AS2"
"168","CLSTN1"
